	0.00	0.00	13.32	0.47	-4.84	8.80	8.94	4.449058	-75.199226	2.00	0.0000	0.0000	9.8391	9.7157	19.3381	23.1395	7.3741	-9.7156	71.0177	34	37
	0.00	0.00	13.20	0.23	-4.34	8.77	8.90	4.449058	-75.199226	2.00	0.0000	0.0000	9.7372	9.6446	17.5153	21.9979	7.3160	-9.9597	70.8931	32	35
	0.00	0.00	13.30	-0.11	-3.46	8.77	8.82	4.449058	-75.199226	2.00	0.0000	0.0000	9.6135	9.6032	16.1979	20.5114	7.2996	-9.6884	70.7183	31	33
	0.00	0.00	13.27	0.09	-2.64	8.78	8.74	4.449058	-75.199226	2.00	0.0000	0.0000	9.4920	9.5676	15.5328	18.8639	7.3991	-9.6197	70.5180	30	31
	0.00	0.00	13.37	0.69	-2.13	8.73	8.69	4.449058	-75.199226	2.00	0.0000	0.0000	9.3938	9.4786	15.1537	17.2957	7.5369	-9.4677	70.3495	28	30
	0.00	0.00	13.27	0.79	-1.88	8.61	8.64	4.449058	-75.199226	2.00	0.0000	0.0000	9.3033	9.3372	14.3811	16.3736	7.6418	-9.5946	70.0717	27	30
	0.00	0.00	13.27	0.27	-1.80	8.43	8.57	4.449058	-75.199226	2.00	0.0000	0.0000	9.2103	9.1595	13.4225	16.2025	7.6795	-9.5067	69.8897	27	32
	0.00	0.00	13.20	-0.38	-1.74	8.15	8.47	4.449058	-75.199226	2.00	0.0000	0.0000	9.1041	8.9206	12.6804	16.7359	7.7691	-9.5514	69.7474	27	35
	0.00	0.00	13.26	-0.90	-1.87	7.79	8.36	4.449058	-75.199226	2.00	0.0000	0.0000	8.9986	8.6443	12.3759	18.5223	7.8333	-9.4206	69.5982	27	40
	0.00	0.00	13.22	-1.29	-2.25	7.46	8.27	4.449058	-75.199226	2.00	0.0000	0.0000	8.9162	8.4214	12.3652	21.5395	7.8003	-9.3196	69.4198	28	45
	0.00	0.00	13.22	-1.54	-2.62	7.31	8.19	4.449058	-75.199226	2.00	0.0000	0.0000	8.8451	8.3642	12.4148	24.8105	7.7053	-9.2696	69.3307	28	47
