	0.00	0.00	13.41	-1.61	-1.41	-0.00	-0.00	4.449142	-75.199211	2.00	-0.1392	0.0691	-9.6749	0.0048	-0.0932	0.9614	-2.4214	-1.1708	194.4678	1	-1
	0.00	0.00	13.37	-1.61	-1.33	-0.00	-0.00	4.449142	-75.199211	2.00	-0.1426	0.0325	-9.6702	0.0068	-0.0932	0.9638	-2.4171	-1.1682	193.9153	24	22
	0.00	0.00	13.12	-0.73	-2.00	-0.00	-0.16	4.449142	-75.199211	2.00	-0.1237	0.0630	-9.6668	-0.0454	-0.1391	1.0722	-2.4111	-1.1643	193.9061	50	45
	0.00	0.00	13.15	2.78	-3.60	-0.38	-0.10	4.449142	-75.199211	2.00	0.4723	-0.1765	-9.9375	0.1074	0.3071	0.6269	-2.4215	-1.0622	193.7784	70	74
	0.00	0.00	12.76	10.00	-7.80	-0.12	0.08	4.449142	-75.199211	2.00	3.0851	0.6609	-10.0740	0.0102	0.2739	0.9804	-2.4084	-0.6477	193.4499	85	91
	0.00	0.00	12.58	20.28	-17.86	0.42	0.40	4.449142	-75.199211	2.00	5.2121	-0.1587	-9.8038	-0.0986	0.3090	1.0620	-2.4757	-0.3799	193.8590	95	97
	0.00	0.00	12.37	31.00	-31.14	1.10	0.90	4.449142	-75.199211	2.00	3.5814	-0.1449	-9.7716	0.0825	0.4711	0.7553	-2.4786	-0.3558	193.9104	99	96
	0.00	0.00	12.64	39.32	-42.02	1.89	1.69	4.449141	-75.199211	2.00	3.9314	-0.4374	-9.8126	-0.0136	0.4531	0.6381	-2.3785	-0.3138	193.5628	97	92
	0.00	0.00	12.72	43.69	-47.91	2.85	2.75	4.449141	-75.199211	2.00	3.5185	0.3374	-9.9358	0.1743	0.1152	0.9541	-2.2984	-0.3022	193.2452	91	85
	0.00	0.00	12.72	43.50	-48.14	3.95	3.94	4.449141	-75.199211	2.00	2.0864	0.5880	-8.9946	-0.0722	0.0644	1.1943	-2.3038	-0.4620	193.1408	81	76
	0.00	0.00	13.04	39.27	-42.96	5.07	5.05	4.449141	-75.199211	2.00	1.8834	0.5056	-9.3070	0.3549	-0.0502	0.4453	-2.3873	-0.4421	193.1256	71	67
	0.00	0.00	13.12	31.77	-33.57	6.02	5.98	4.449141	-75.199211	2.00	-0.7242	-0.1112	-10.9100	-0.0268	-0.1074	0.3154	-2.4842	-0.8066	193.0040	62	59
	0.00	0.00	13.18	22.72	-23.23	6.70	6.67	4.449141	-75.199211	2.00	1.2119	0.1348	-8.5658	-0.1577	-0.3354	1.5273	-2.4653	-0.7999	192.8069	56	54
	0.00	0.00	13.23	14.92	-15.54	7.13	7.12	4.449141	-75.199211	2.00	-1.3013	0.1544	-11.3903	-0.0771	-0.0156	1.0390	-2.4681	-1.1449	192.5552	51	49
	0.00	0.00	13.16	9.18	-10.74	7.33	7.37	4.449141	-75.199211	2.00	0.6775	-0.4193	-7.9748	0.1040	-0.1064	0.9672	-2.4896	-1.0825	192.3912	46	44
	0.00	0.00	13.25	4.63	-7.21	7.37	7.49	4.449141	-75.199211	2.00	-1.0306	-0.0190	-11.1912	-0.0122	-0.0625	0.4458	-2.4669	-1.2394	191.9370	42	41
	0.00	0.00	13.26	1.81	-4.83	7.32	7.50	4.449141	-75.199211	2.00	0.6374	0.3055	-8.5776	-0.2167	-0.1875	1.3823	-2.4094	-1.1653	191.7664	38	38
	0.00	0.00	13.11	1.63	-4.19	7.17	7.42	4.449141	-75.199211	2.00	-1.4123	-0.0800	-10.6918	-0.0429	-0.0698	0.9707	-2.3711	-1.2282	191.5741	33	36
	0.00	0.00	13.27	2.60	-4.39	7.02	7.28	4.449141	-75.199211	2.00	0.5743	-0.6012	-8.6963	-0.0673	-0.0341	0.9882	-2.3842	-1.0297	191.3529	30	35
	0.00	0.00	13.20	2.75	-4.14	6.94	7.04	4.449141	-75.199211	2.00	-0.9113	-0.0574	-10.3465	0.0917	0.1972	0.1884	-2.3653	-1.2061	191.2059	29	32
	0.00	0.00	13.37	2.02	-3.40	6.92	6.76	4.449141	-75.199211	2.00	-0.2981	0.7900	-9.1542	0.0952	-0.1401	1.1879	-2.3306	-1.1089	190.2663	31	30
	0.00	0.00	13.18	0.94	-2.69	6.94	6.60	4.449141	-75.199211	2.00	-0.5727	-0.5591	-10.3088	0.0380	0.2055	0.6269	-2.3400	-0.8935	190.1362	32	26
	0.00	0.00	13.34	-0.07	-2.46	6.99	6.65	4.449141	-75.199211	2.00	0.1391	-0.5355	-8.5838	0.0458	-0.4414	1.3701	-2.3708	-0.8904	189.8691	29	22
	0.00	0.00	13.19	-0.75	-2.66	7.04	6.79	4.449137	-75.199211	2.00	-0.8326	-0.3524	-10.5055	0.0083	-0.0747	0.6142	-2.4406	-0.9076	189.7043	25	17
	0.00	0.00	13.22	-1.21	-2.70	7.02	6.90	4.449137	-75.199211	2.00	-0.5374	0.3324	-9.0669	-0.1459	-0.2011	1.1074	-2.4421	-0.9807	189.6192	20	13
	0.00	0.00	13.27	-1.43	-2.64	6.90	6.91	4.449137	-75.199211	2.00	-0.0848	0.6448	-10.0852	-0.2509	-0.1879	1.0859	-2.4617	-0.9678	189.1168	16	11
	0.00	0.00	13.22	-1.34	-2.83	6.66	6.83	4.449137	-75.199211	2.00	-1.4865	0.8331	-9.8290	0.0893	-0.2993	1.3066	-2.4886	-1.3565	188.8938	14	12
	0.00	0.00	13.12	-1.26	-2.90	6.37	6.68	4.449137	-75.199211	2.00	-0.1239	0.0197	-9.9252	-0.0473	-0.2236	1.2050	-2.4097	-1.3712	188.6866	14	15
